N,Weight,Name
1,0.13,RELIANCE
2,0.10,HDFC BANK
3,0.09,ICICI BANK
4,0.08,INFOSYS
5,0.07,HDFC
6,0.05,TCS
7,0.04,ITC
8,0.04,KOTAK
9,0.04,L&T
10,0.03,AXIS BANK
11,0.03,UNILEVER
12,0.03,SBI
13,0.03,AIRTEL
14,0.03,BAJAJ FINANCE
15,0.02,ASIAN PAINTS
16,0.02,M&M
17,0.02,HCL
18,0.02,MARUTI SUZUKI
19,0.02,SUN PHARMA
20,0.02,TITAN
21,0.01,BAJAJ FINSERV
22,0.01,TATA STEEL
23,0.01,ULTRATECH
24,0.01,NTPC
25,0.01,INDUSIND BANK
26,0.01,POWER GRID
27,0.01,NESTLE
28,0.01,TECH MAHINDRA
29,0.01,WIPRO
30,0.01,DR REDDY
